N, S_est_wide, rel_err_wide, S_est_small, rel_err_small
51100, 0.94082118, 0.00391312, 0.94684442, 0.00246394
51600, 0.94225585, 0.00239417, 0.94435562, 0.00017106
52100, 0.97034754, 0.02734768, 0.94407390, 0.00046933
52600, 0.95021865, 0.00603638, 0.94313213, 0.00146642
53100, 0.92442683, 0.02127051, 0.94733992, 0.00298855
53600, 0.93376037, 0.01138869, 0.94426306, 0.00026905
54100, 0.94022579, 0.00454348, 0.94198244, 0.00268364
54600, 0.95262687, 0.00858607, 0.94606227, 0.00163585
55100, 0.93957122, 0.00523651, 0.94344374, 0.00113650
55600, 0.94318707, 0.00140824, 0.94289568, 0.00171675
56100, 0.94205938, 0.00260219, 0.94131016, 0.00339541
56600, 0.95881560, 0.01513833, 0.94642226, 0.00201698
57100, 0.96080584, 0.01724548, 0.94443958, 0.00008216
57600, 0.95685397, 0.01306147, 0.94359809, 0.00097309
58100, 0.93489800, 0.01018424, 0.94096386, 0.00376206
58600, 0.95462748, 0.01070419, 0.94244881, 0.00218988
59100, 0.95740831, 0.01364838, 0.94524112, 0.00076646
59600, 0.96242621, 0.01896104, 0.94217701, 0.00247764
60100, 0.94277219, 0.00184751, 0.94357321, 0.00099943
60600, 0.96002082, 0.01641435, 0.94341997, 0.00116167
61100, 0.94245845, 0.00217967, 0.94400573, 0.00054150
61600, 0.95011783, 0.00592964, 0.94297890, 0.00162865
62100, 0.95546209, 0.01158783, 0.94698068, 0.00260820
62600, 0.93633798, 0.00865967, 0.94299121, 0.00161561
63100, 0.92753183, 0.01798311, 0.94538431, 0.00091806
63600, 0.93766638, 0.00725323, 0.94154874, 0.00314282
64100, 0.91503348, 0.03121563, 0.94257020, 0.00206135
64600, 0.93880316, 0.00604968, 0.94512384, 0.00064229
65100, 0.95190314, 0.00781982, 0.94139785, 0.00330257
65600, 0.91841580, 0.02763463, 0.94384527, 0.00071138
66100, 0.94220882, 0.00244397, 0.94788200, 0.00356247
66600, 0.95746982, 0.01371349, 0.94213589, 0.00252118
67100, 0.94584357, 0.00140430, 0.94390835, 0.00064460
67600, 0.93510840, 0.00996147, 0.94659763, 0.00220266
68100, 0.93823609, 0.00665006, 0.94269457, 0.00192968
68600, 0.94670362, 0.00231487, 0.94438776, 0.00013703
69100, 0.95209398, 0.00802187, 0.94602026, 0.00159137
69600, 0.94832731, 0.00403394, 0.94513290, 0.00065188
70100, 0.96389222, 0.02051317, 0.94497147, 0.00048097
70600, 0.95307228, 0.00905764, 0.94426346, 0.00026863
71100, 0.95607841, 0.01224035, 0.94497187, 0.00048139
71600, 0.92577546, 0.01984265, 0.94376746, 0.00079377
72100, 0.93877268, 0.00608195, 0.94455617, 0.00004128
72600, 0.95493873, 0.01103372, 0.94562672, 0.00117471
73100, 0.92287143, 0.02291727, 0.94627223, 0.00185814
73600, 0.95689066, 0.01310032, 0.94434443, 0.00018290
74100, 0.93744482, 0.00748781, 0.94210526, 0.00255360
74600, 0.94067530, 0.00406757, 0.94137064, 0.00333138
75100, 0.95693780, 0.01315023, 0.94753662, 0.00319680
75600, 0.96488341, 0.02156258, 0.94300595, 0.00160001
76100, 0.93912512, 0.00570881, 0.94405388, 0.00049053
76600, 0.95457160, 0.01064503, 0.94236292, 0.00228081
77100, 0.94119355, 0.00351887, 0.94471466, 0.00020907
77600, 0.94076700, 0.00397048, 0.94131765, 0.00338748
78100, 0.94868628, 0.00441399, 0.94510243, 0.00061963
78600, 0.94487782, 0.00038182, 0.94802799, 0.00371704
79100, 0.92010000, 0.02585150, 0.94216182, 0.00249372
79600, 0.94546551, 0.00100403, 0.94568153, 0.00123274
80100, 0.95255085, 0.00850558, 0.94566167, 0.00121172
80600, 0.95448216, 0.01055033, 0.94429280, 0.00023756
81100, 0.95555050, 0.01168143, 0.94710234, 0.00273701
81600, 0.93373014, 0.01142070, 0.94653799, 0.00213951
82100, 0.96487167, 0.02155014, 0.94372716, 0.00083643
82600, 0.95114504, 0.00701719, 0.94810835, 0.00380212
83100, 0.94156137, 0.00312944, 0.94434416, 0.00018319
83600, 0.92464956, 0.02103469, 0.94346591, 0.00111303
84100, 0.95579810, 0.01194358, 0.94225624, 0.00239376
84600, 0.94290928, 0.00170235, 0.94270095, 0.00192293
85100, 0.95096427, 0.00682580, 0.94478555, 0.00028412
85600, 0.93019034, 0.01516843, 0.94526869, 0.00079565
86100, 0.94556523, 0.00110961, 0.94459930, 0.00008694
86600, 0.94369832, 0.00086696, 0.94005485, 0.00472446
87100, 0.95346137, 0.00946958, 0.94338404, 0.00119971
87600, 0.93037290, 0.01497515, 0.94687500, 0.00249632
88100, 0.93800404, 0.00689574, 0.94822645, 0.00392715
88600, 0.95213289, 0.00806306, 0.94339729, 0.00118568
89100, 0.93838798, 0.00648925, 0.94552469, 0.00106669
89600, 0.95007838, 0.00588786, 0.94489397, 0.00039892
90100, 0.94631667, 0.00190519, 0.94374306, 0.00081960
90600, 0.94184533, 0.00282880, 0.94519868, 0.00072152
91100, 0.92589738, 0.01971357, 0.94243963, 0.00219960
91600, 0.94663461, 0.00224181, 0.94645197, 0.00204843
92100, 0.96070748, 0.01714135, 0.94428610, 0.00024466
92600, 0.93137223, 0.01391712, 0.94373650, 0.00082654
93100, 0.95884696, 0.01517154, 0.94550215, 0.00104282
93600, 0.94032582, 0.00443757, 0.94397703, 0.00057189
94100, 0.93439955, 0.01071197, 0.94309245, 0.00150842
94600, 0.93336616, 0.01180606, 0.94525634, 0.00078258
95100, 0.93755740, 0.00736862, 0.94621451, 0.00179703
95600, 0.95441680, 0.01048114, 0.94609048, 0.00166571
96100, 0.94671954, 0.00233173, 0.94177940, 0.00289861
96600, 0.95560746, 0.01174174, 0.94321946, 0.00137396
97100, 0.94868422, 0.00441182, 0.94821061, 0.00391038
97600, 0.93027692, 0.01507676, 0.94585041, 0.00141154
98100, 0.95714974, 0.01337461, 0.94468654, 0.00017931
98600, 0.94598552, 0.00155459, 0.94385142, 0.00070487
99100, 0.95465293, 0.01073113, 0.94528254, 0.00081032
99600, 0.93843991, 0.00643427, 0.94833082, 0.00403766
100100, 0.94424182, 0.00029155, 0.94193307, 0.00273592
